subjectid,true_label,predicted_prob,sensitive_attr_numeric
BOO-91054,0,0.23387020826339722,1
BOR-91057,0,0.9745158553123474,1
BVL-91233,1,0.07451401650905609,1
BVN-91235,0,0.036421436816453934,0
BVT-91241,0,0.01039417926222086,1
BVX-91245,0,0.7132188677787781,1
BWW-91270,0,0.02296949364244938,1
BXJ-91283,0,0.14222602546215057,1
BXK-91284,1,0.8833712935447693,0
BZL-91337,1,0.4242933988571167,1
BZV-91347,0,0.005559857934713364,1
CBN-91391,0,0.8838358521461487,0
CDM-91442,0,0.6949540972709656,1
CDY-91454,1,0.8443647623062134,1
CEU-91476,1,0.8977862596511841,1
CEV-91477,0,0.19096249341964722,1
CLP-91653,1,0.49252888560295105,0
CPK-91752,0,0.1228952705860138,1
CRE-91798,1,0.9938947558403015,0
CZZ-92027,1,0.19452141225337982,1
DBG-92060,0,0.18721304833889008,1
ABC-90028,0,0.01270312536507845,0
AEN-90117,1,0.9585471153259277,0
AFP-90145,1,0.42657628655433655,1
AGJ-90165,0,0.20197808742523193,1
AHL-90193,0,0.22221694886684418,0
AIG-90214,0,0.30868032574653625,1
AJE-90238,0,0.2228032946586609,1
AJM-90246,1,0.0664757490158081,1
AJX-90257,1,0.7448506355285645,0
AJY-90258,0,0.039275284856557846,1
AKE-90264,0,0.88322913646698,0
AKF-90265,0,0.9348113536834717,1
AKI-90268,0,0.03966842591762543,1
AKV-90281,0,0.006967374123632908,1
ALE-90290,1,0.7799818515777588,1
ALZ-90311,0,0.017660191282629967,1
AMM-90324,0,0.13272525370121002,1
ANF-90343,1,0.9024761915206909,0
ANG-90344,0,0.9306409955024719,1
ANS-90356,0,0.056467752903699875,0
ANV-90359,1,0.07038116455078125,1
AOI-90372,0,0.3542555868625641,1
AOX-90387,0,0.2427590787410736,1
APD-90393,0,0.6249613761901855,1
APF-90395,0,0.4685443341732025,1
APM-90402,0,0.028958510607481003,0
APT-90409,0,0.18661104142665863,1
AQJ-90425,0,0.8020901679992676,1
AQT-90435,0,0.373430460691452,0
ARD-90445,0,0.07143401354551315,1
ARE-90446,1,0.05205861106514931,1
ARO-90456,0,0.34831422567367554,0
ARR-90459,0,0.20456953346729279,0
ASE-90472,0,0.05997475981712341,1
ASG-90474,0,0.22997473180294037,1
ASH-90475,1,0.3558494448661804,0
ASS-90486,1,0.3005329668521881,1
AUD-90523,1,0.6568509340286255,0
AUJ-90529,0,0.002344361040741205,1
AUK-90530,0,0.06212674826383591,1
AUL-90531,0,0.09022702276706696,1
AUT-90539,0,0.018653277307748795,0
AWP-90587,1,0.03398822993040085,1
AXB-90599,0,0.49008381366729736,1
AYO-90638,1,0.2434258908033371,1
AYS-90642,0,0.7749480605125427,0
BAL-90687,0,0.034098658710718155,1
BAY-90700,1,0.7714181542396545,0
BBB-90703,1,0.7690215706825256,1
BBM-90714,1,0.45542317628860474,1
BBT-90721,0,0.3503076434135437,1
BBW-90724,0,0.3040379285812378,0
BCS-90746,1,0.3902094066143036,0
BDD-90757,0,0.6105079054832458,1
BDO-90768,1,0.5410479307174683,0
BGI-90840,1,0.7186749577522278,1
BKZ-90961,1,0.9887978434562683,0
BLA-90962,0,0.24737130105495453,1
BLR-90979,0,0.8342593312263489,0
BLV-90983,0,0.17207247018814087,1
BOB-91041,0,0.0662727802991867,1
BPQ-91082,0,0.7999624609947205,0
BRS-91136,0,0.19159898161888123,1
BRT-91137,1,0.07726601511240005,1
BTB-91171,0,0.7172080874443054,1
BTQ-91186,0,0.152730792760849,0
BVS-91240,1,0.993247389793396,1
BVX-91245,0,0.6626757383346558,1
BWQ-91264,1,0.8556805849075317,1
BXE-91278,1,0.41602349281311035,1
BXS-91292,1,0.24293214082717896,1
BZH-91333,1,0.4061923027038574,0
BZK-91336,1,0.3869442641735077,0
CAH-91359,1,0.7936871647834778,0
CAI-91360,1,0.47683754563331604,0
CAR-91369,0,0.06068912521004677,1
CEE-91460,1,0.30071592330932617,1
CEJ-91465,0,0.036145467311143875,1
CEU-91476,1,0.8691491484642029,1
CFR-91499,0,0.3796657621860504,1
CNU-91710,1,0.7670413255691528,1
CNV-91711,0,0.030815789476037025,1
CVG-91904,0,0.030250173062086105,1
CZZ-92027,1,0.26674899458885193,1
DBF-92059,1,0.9876412749290466,1
DBO-92068,0,0.2390393316745758,0
ABE-90030,0,0.027984539046883583,0
AEG-90110,0,0.11763681471347809,0
AFS-90148,1,0.2603132128715515,1
AGI-90164,1,0.9410032033920288,0
AHO-90196,0,0.9455363154411316,1
AIB-90209,1,0.4074332118034363,1
AIH-90215,1,0.8316927552223206,1
AIN-90221,0,0.0020344809163361788,0
AJB-90235,1,0.11272169649600983,1
AJE-90238,0,0.08918818831443787,1
AJM-90246,1,0.07393600791692734,1
AKJ-90269,1,0.09049682319164276,0
AKT-90279,0,0.10411301255226135,0
ALK-90296,1,0.004464747849851847,1
AMJ-90321,0,0.16402676701545715,0
ANH-90345,1,0.47015514969825745,1
ANM-90350,1,2.928717585746199e-4,1
AOF-90369,0,0.07967600226402283,0
AON-90377,1,0.07399682700634003,1
AOP-90379,0,0.2949911952018738,1
AOU-90384,0,0.7459322214126587,0
AOW-90386,0,0.003609866602346301,1
APC-90392,1,0.13011369109153748,1
APE-90394,0,0.9592689871788025,1
API-90398,0,0.014342273585498333,1
AQA-90416,0,0.0032929591834545135,1
AQD-90419,0,0.013216663151979446,1
AQU-90436,0,0.006512110121548176,1
ARD-90445,0,0.07399081438779831,1
ARK-90452,0,0.04680376499891281,1
ARL-90453,0,0.6775330901145935,0
ASF-90473,1,0.9019267559051514,0
AST-90487,0,0.11386829614639282,0
ASX-90491,1,0.3109200596809387,0
ASY-90492,0,0.6493866443634033,1
ATI-90502,0,0.5313884615898132,1
AUD-90523,1,0.4199379086494446,0
AUL-90531,0,0.15335024893283844,1
AUT-90539,0,0.05730618163943291,0
AUY-90544,0,0.24718372523784637,1
AVL-90557,0,0.15730276703834534,0
AVN-90559,0,0.9143995046615601,0
AWX-90595,0,0.045909635722637177,0
AXE-90602,0,0.7869670987129211,0
AXH-90605,1,0.37224453687667847,0
AYO-90638,1,0.08613143116235733,1
AZQ-90666,0,0.09804835170507431,1
AZT-90669,1,0.01424399483948946,1
AZX-90673,0,0.004085894208401442,0
AZZ-90675,0,0.008410296402871609,1
BAB-90677,1,0.21821202337741852,1
BAR-90693,0,0.008548884652554989,1
BBB-90703,1,0.8634889125823975,1
BBM-90714,1,0.14694663882255554,1
BBS-90720,0,0.16286921501159668,1
BBU-90722,1,0.9674915075302124,1
BDD-90757,0,0.03172590956091881,1
BFB-90807,1,0.45888546109199524,1
BGI-90840,1,0.6365792155265808,1
BLL-90973,0,0.7868619561195374,0
BLR-90979,0,0.6151770353317261,0
BLV-90983,0,0.581957221031189,1
BME-90992,0,0.9834743142127991,1
BND-91017,0,0.012079894542694092,1
BPQ-91082,0,0.5454128980636597,0
BRE-91122,0,0.05806111916899681,1
BRS-91136,0,0.03241344168782234,1
BVB-91223,0,0.9145063161849976,1
BVC-91224,0,0.0605604462325573,1
BVT-91241,0,0.01022760197520256,1
BVX-91245,0,0.304675430059433,1
BWB-91249,0,0.5875053405761719,1
BXS-91292,1,0.062648676335811615,1
CAB-91353,0,0.0055747549049556255,1
CAV-91373,1,0.8248064517974854,1
CCB-91405,1,0.034323837608098984,0
CCM-91416,0,0.24842801690101624,0
CDF-91435,1,0.9411565065383911,0
CDZ-91455,1,0.6944079995155334,1
CEI-91464,0,0.9361602663993835,1
CEJ-91465,0,0.004855348262935877,1
CEZ-91481,1,0.835552453994751,1
CLP-91653,1,0.4335678219795227,0
CRM-91806,1,0.914783239364624,0
DAF-92033,1,0.9191039800643921,0
DBO-92068,0,0.03620363026857376,0
AEG-90110,0,0.039994534105062485,0
AGK-90166,0,0.2760072350502014,1
AHU-90202,0,0.5470183491706848,0
AHZ-90207,0,0.15101197361946106,1
AIC-90210,0,0.10484529286623001,1
AJB-90235,1,0.4787190854549408,1
AJD-90237,0,0.013630525209009647,1
AJH-90241,0,0.033159006386995316,1
AJK-90244,1,0.9848063588142395,0
AJM-90246,1,0.007140432018786669,1
AJX-90257,1,0.5636358261108398,0
ALA-90286,0,0.005613724235445261,1
ALK-90296,1,0.05696868523955345,1
ALO-90300,0,0.20620031654834747,0
AMJ-90321,0,0.057979900389909744,0
AMM-90324,0,0.18413715064525604,1
ANV-90359,1,0.4066268503665924,1
ANZ-90363,0,0.9088837504386902,1
AOP-90379,0,0.2783474326133728,1
APC-90392,1,0.21411295235157013,1
APE-90394,0,0.31791508197784424,1
APT-90409,0,0.06280666589736938,1
APU-90410,0,0.030440554022789,0
APX-90413,0,0.005758845712989569,1
AQS-90434,0,0.25672227144241333,1
ARC-90444,1,0.7077780961990356,0
ARD-90445,0,0.06287431716918945,1
ARJ-90451,0,0.006744976621121168,0
ARQ-90458,0,0.005442147143185139,0
ARR-90459,0,0.1001310721039772,0
ARW-90464,0,0.4324389398097992,0
ASP-90483,0,0.018204689025878906,1
ASS-90486,1,0.8434249758720398,1
AST-90487,0,0.29424697160720825,0
AUD-90523,1,0.6460781693458557,0
AVC-90548,0,0.025419063866138458,0
AVN-90559,0,0.6120907664299011,0
AVQ-90562,1,0.902727484703064,0
AXR-90615,0,0.6777567863464355,1
AYS-90642,0,0.8920276761054993,0
AZV-90671,1,0.3973117470741272,0
AZX-90673,0,0.0021927549969404936,0
BAY-90700,1,0.49446961283683777,0
BBA-90702,0,0.01721706986427307,0
BBB-90703,1,0.7233062982559204,1
BBC-90704,1,0.3346043825149536,1
BBE-90706,0,0.28414273262023926,0
BBS-90720,0,0.7301784157752991,1
BBT-90721,0,0.05090249329805374,1
BBU-90722,1,0.8641063570976257,1
BCD-90731,1,0.6303226947784424,0
BCQ-90744,1,0.7896817922592163,1
BDD-90757,0,0.4317283630371094,1
BFB-90807,1,0.5880307555198669,1
BHE-90862,0,0.005912461318075657,1
BIC-90886,0,0.04020235687494278,1
BII-90892,0,0.7854567170143127,0
BKZ-90961,1,0.9865092635154724,0
BLI-90970,1,0.14204348623752594,1
BND-91017,0,0.013786694034934044,1
BNQ-91030,0,0.4228069484233856,1
BNT-91033,1,0.8312516212463379,0
BOH-91047,1,0.20499266684055328,1
BPR-91083,1,0.14126761257648468,1
BQY-91116,0,0.01558767817914486,0
BRZ-91143,0,0.42934074997901917,1
BTP-91185,1,0.0344795398414135,1
BVB-91223,0,0.380119651556015,1
BVL-91233,1,0.1124381348490715,1
BXJ-91283,0,0.3071449398994446,1
BYM-91312,0,0.08845382183790207,1
BYW-91322,0,0.48501792550086975,1
BZM-91338,1,0.9441470503807068,1
CAC-91354,0,0.396235853433609,0
CAH-91359,1,0.8106219172477722,0
CAI-91360,1,0.7167543172836304,0
CBN-91391,0,0.4272601902484894,0
CBR-91395,0,0.874315619468689,0
CCA-91404,0,0.01092960312962532,0
CDF-91435,1,0.909945547580719,0
CDM-91442,0,0.3319718837738037,1
CDY-91454,1,0.8341877460479736,1
CPK-91752,0,0.1034853532910347,1
CYQ-91992,1,0.11584755033254623,0
DAF-92033,1,0.9438260793685913,0
DBA-92054,1,0.030281363055109978,1
ABF-90031,0,0.6123197674751282,1
AFO-90144,0,0.8745867013931274,1
AFP-90145,1,0.7429282069206238,1
AGK-90166,0,0.1364806592464447,1
AHR-90199,1,0.004522543866187334,1
AIK-90218,0,0.408159077167511,0
AJK-90244,1,0.9851716160774231,0
AJR-90251,1,0.3081094026565552,0
AJW-90256,0,0.9556788802146912,1
AKD-90263,0,0.2185489982366562,0
AKF-90265,0,0.8987699151039124,1
AKP-90275,0,0.7025032639503479,0
AKT-90279,0,0.28523898124694824,0
AKV-90281,0,0.0030147386714816093,1
AKX-90283,0,0.35372188687324524,1
AKY-90284,1,0.8078466653823853,1
AMF-90317,1,0.9219185709953308,0
AMW-90334,1,0.3198639452457428,1
AMX-90335,0,0.5925180315971375,1
ANP-90353,0,0.002404984552413225,1
ANS-90356,0,4.861868219450116e-4,0
AOE-90368,1,0.8648970723152161,1
AOH-90371,1,0.2604471445083618,0
AOQ-90380,0,0.02964777871966362,0
AOS-90382,1,0.00912030041217804,1
AOY-90388,1,0.023966601118445396,1
APM-90402,0,0.00306173088029027,0
AQG-90422,0,0.04526766017079353,0
AQP-90431,0,0.062348272651433945,1
AQT-90435,0,0.009190415032207966,0
ARE-90446,1,0.010425266809761524,1
ARF-90447,1,0.7519814968109131,1
ARJ-90451,0,7.830723188817501e-4,0
ARO-90456,0,0.023751283064484596,0
ASF-90473,1,0.956244170665741,0
AST-90487,0,0.9831513166427612,0
AUJ-90529,0,0.004553910344839096,1
AUP-90535,1,0.8499197959899902,1
AUY-90544,0,0.7898293137550354,1
AVK-90556,1,0.0849204957485199,0
AVO-90560,0,0.8027838468551636,1
AWL-90583,0,0.0010968095157295465,1
AWO-90586,0,0.6621673107147217,0
AXB-90599,0,0.050542205572128296,1
AZP-90665,0,0.42379266023635864,1
AZT-90669,1,0.022454896941781044,1
AZU-90670,0,0.462220162153244,1
BAE-90680,0,0.20835839211940765,0
BAL-90687,0,0.034192319959402084,1
BBC-90704,1,0.5974247455596924,1
BBE-90706,0,0.9165953397750854,0
BBF-90707,0,0.015841664746403694,1
BBM-90714,1,0.1173207089304924,1
BBS-90720,0,0.46436452865600586,1
BBT-90721,0,0.030012674629688263,1
BDK-90764,1,0.5819361805915833,0
BDX-90777,1,0.3275483548641205,1
BEF-90785,0,0.025987984612584114,1
BFD-90809,0,0.012036830186843872,1
BKZ-90961,1,0.9844693541526794,0
BLA-90962,0,0.4978964328765869,1
BLX-90985,1,0.7411853671073914,0
BNK-91024,0,0.10241343080997467,0
BNQ-91030,0,0.5039300918579102,1
BPQ-91082,0,0.6170613169670105,0
BRS-91136,0,0.12263163179159164,1
BRZ-91143,0,0.24005191028118134,1
BTB-91171,0,0.6591110825538635,1
BVX-91245,0,0.6809977889060974,1
BWQ-91264,1,0.663356363773346,1
BWW-91270,0,0.07244718819856644,1
BXJ-91283,0,0.08323119580745697,1
BZO-91340,1,0.8250620365142822,0
CAY-91376,0,0.0158210638910532,1
CCN-91417,0,0.0103641701862216,1
CDZ-91455,1,0.7678302526473999,1
CEI-91464,0,0.8102274537086487,1
CEJ-91465,0,0.053658898919820786,1
CEZ-91481,1,0.9692003130912781,1
CFR-91499,0,0.34549370408058167,1
CVG-91904,0,0.18230345845222473,1
CYQ-91992,1,0.0368419773876667,0
CZY-92026,1,0.8598572015762329,1
DAZ-92053,1,0.8927156329154968,1
DBA-92054,1,0.07865399122238159,1
DBO-92068,0,0.4035376012325287,0
